Математика,Физика,История,Литература
,,,grade=1
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
,,,grade=3
grade=2,,,
,,,grade=3
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
,,,grade=3
,,test_score=56,
